model,mean_similarity,min_similarity,max_similarity,std_similarity
gpt2-xl,0.35091546210032887,0.2826292605467018,0.41953418138419574,0.040780737599001096
gpt2-xl,0.36680522532439575,0.24925503139167882,0.5134205222129822,0.09730219491904452
gpt2-xl,0.37005326869383415,0.2629423141479492,0.4692591726779938,0.07121275490405041
gpt2-xl,0.3402348091486539,0.28923386335372925,0.4111439287662506,0.031926715360572296
gpt2-xl,0.3792788863182068,0.25340646505355835,0.534239649772644,0.09408229286551753
gpt2-xl,0.37177342823569215,0.30511051416397095,0.4991199522948253,0.05538054693273635
gpt2-xl,0.3133210056402537,0.24677765369415283,0.5149691990036259,0.08269451829331369
gpt2-xl,0.33779299287441944,0.23903346127072256,0.44954854249954224,0.05072686723655963
gpt2-xl,0.324310025934322,0.19518053531646729,0.47827544937876254,0.07980551074425775
gpt2-xl,0.383900319898905,0.2612400793290095,0.6756072624432083,0.10473181435268464
gpt2-xl,0.3348278982361875,0.2188219046241614,0.5688055753707886,0.09163065324664843
gpt2-xl,0.3790524271389847,0.2803967976688386,0.5604571104049683,0.07475107368774167
gpt2-xl,0.4549139016251618,0.3411782587276857,0.6503681540489197,0.10649321786673858
gpt2-xl,0.3883200940117839,0.32604169845581055,0.4682149887084961,0.042124181066987926
gpt2-xl,0.33112014732489625,0.23390934063085,0.42754835754056786,0.05478527034461077
gpt2-xl,0.374941687780549,0.2552347183227539,0.5900234824405035,0.0907822726932323
gpt2-xl,0.4422434292543428,0.3266981840133667,0.6147415637969971,0.08933580406853982
gpt2-xl,0.3273906324885994,0.27746079198899265,0.3969496848017172,0.03390982780338198
gpt2-xl,0.38361084865958645,0.2712472975254059,0.6233887076377869,0.09474764016267453
gpt2-xl,0.3051438677946467,0.24709743295938758,0.4081398358178363,0.0606272363430886
gpt2-xl,0.3763808435471062,0.265847384929657,0.5554760363414276,0.0899560551871057
gpt2-xl,0.3545606791421174,0.29080399384451194,0.4740198866117077,0.05962805771025117
gpt2-xl,0.3899695988935425,0.27616930830983266,0.5611246228218079,0.07129025686844835
gpt2-xl,0.4127424238616664,0.32875428624425673,0.6026503443717957,0.08106743774067912
gpt2-xl,0.3536842882866019,0.18198561668395996,0.4026208221912384,0.06864076815415952
gpt2-xl,0.3775585677799049,0.3032100200653076,0.4641578516866065,0.05106956835383036
gpt2-xl,0.35884110275752806,0.28441886398679883,0.4095570796992143,0.04189988089089747
gpt2-xl,0.41056092388545584,0.33926508788674603,0.5087805683147577,0.05108912487991283
gpt2-xl,0.43055092654319277,0.20524159874172565,0.6944416347478858,0.17231511715690698
gpt2-xl,0.3020955882176895,0.2436874959655113,0.362509161233902,0.03999669135635158
gpt2-xl,0.3262266008546747,0.20025065541267395,0.47347065806388855,0.09925450819424901
gpt2-xl,0.4924919924914077,0.3521704077720642,0.693888783454895,0.12052651809392977
gpt2-xl,0.35503077869306543,0.2371013917266498,0.4490327628196378,0.0689237259054514
gpt2-xl,0.49197405702839864,0.3685148138693093,0.6247655153274536,0.09266043789662015
gpt2-xl,0.31234216691584527,0.17526156232540502,0.5513205199646649,0.10551565483251252
gpt2-xl,0.42801605317291197,0.3128929138183594,0.5287941694259644,0.06811462451239837
gpt2-xl,0.3666484833163809,0.22665627300739288,0.6313344240188599,0.12360926896858553
gpt2-xl,0.30992878711274807,0.22157712111336758,0.38500625580512016,0.055238584571682355
gpt2-xl,0.3843305262785804,0.23050303757190704,0.6154698500317257,0.09538398816940943
gpt2-xl,0.39449790168752974,0.29074162244796753,0.7165823151718202,0.12122795541929592
gpt2-xl,0.3641945006035664,0.2791367602862864,0.47056582745517406,0.06854835000796698
gpt2-xl,0.29618760256020177,0.23095087820584348,0.41683957476380096,0.05231534156201075
gpt2-xl,0.3548957057419796,0.21322602252805134,0.5404403966796518,0.08220328509900592
gpt2-xl,0.32666494260140977,0.2716773450374603,0.3982718705615961,0.03621900784379529
gpt2-xl,0.3627700417681313,0.2903180545378896,0.5717553751614476,0.07545856811588648
